idx,wt_true_um,lt_true_um,wt_pred_um__wtlt_big_pinn,lt_pred_um__wtlt_big_pinn,wt_abs_err_um__wtlt_big_pinn,lt_abs_err_um__wtlt_big_pinn,wt_pct_err__wtlt_big_pinn,lt_pct_err__wtlt_big_pinn,wt_pred_um__wtlt_big_data,lt_pred_um__wtlt_big_data,wt_abs_err_um__wtlt_big_data,lt_abs_err_um__wtlt_big_data,wt_pct_err__wtlt_big_data,lt_pct_err__wtlt_big_data,wt_pred_um__wtlt_small_pinn,lt_pred_um__wtlt_small_pinn,wt_abs_err_um__wtlt_small_pinn,lt_abs_err_um__wtlt_small_pinn,wt_pct_err__wtlt_small_pinn,lt_pct_err__wtlt_small_pinn,wt_pred_um__wtlt_small_data,lt_pred_um__wtlt_small_data,wt_abs_err_um__wtlt_small_data,lt_abs_err_um__wtlt_small_data,wt_pct_err__wtlt_small_data,lt_pct_err__wtlt_small_data
176,14.0,700.00006,14.607329,721.82245,0.60732937,21.822388,4.338067,3.1174836,14.789888,721.83356,0.7898884,21.833496,5.64206,3.1190705,13.959565,692.4974,0.040434837,7.5026855,0.28882027,1.0718122,13.971702,693.1866,0.028298378,6.8134766,0.20213127,0.97335374
177,14.0,750.0,15.430905,807.1501,1.4309053,57.150085,10.220753,7.6200113,15.423115,804.4855,1.4231148,54.485474,10.165106,7.2647295,13.62606,714.53723,0.37394047,35.46277,2.6710033,4.728369,13.628015,716.2952,0.37198544,33.704773,2.657039,4.49397
178,14.0,800.0,15.756014,870.9181,1.7560139,70.91809,12.542955,8.864761,15.934442,870.59576,1.9344416,70.595764,13.81744,8.8244705,13.20444,730.914,0.7955599,69.086,5.6825705,8.63575,13.19289,733.3312,0.80710983,66.66882,5.7650704,8.333603
179,14.0,849.99994,16.065973,927.1165,2.0659733,77.11658,14.756952,9.072539,16.090216,922.21405,2.0902157,72.21411,14.930113,8.495779,12.696706,742.7476,1.3032942,107.25232,9.309244,12.61792,12.671952,745.4815,1.3280478,104.51843,9.486055,12.296287
180,14.0,900.0,16.171474,977.0648,2.1714745,77.06482,15.510532,8.5627575,15.961674,972.6277,1.9616737,72.627686,14.011955,8.069742,12.109653,750.86676,1.8903465,149.13324,13.502476,16.57036,12.075872,753.6586,1.9241276,146.34137,13.743769,16.26015
181,14.0,950.0,15.748172,987.34607,1.7481718,37.34607,12.486941,3.9311652,15.795044,987.44617,1.795044,37.446167,12.821743,3.9417017,11.458286,755.9193,2.5417137,194.08069,18.155098,20.429546,11.422893,758.59406,2.5771074,191.40594,18.40791,20.147995
182,14.0,1000.00006,15.173083,989.53235,1.1730833,10.467712,8.379167,1.0467712,15.428866,991.0243,1.4288664,8.975769,10.206188,0.89757687,10.7675495,758.4772,3.2324505,241.52289,23.088932,24.152288,10.739375,760.9314,3.260625,239.06866,23.290178,23.906866
183,15.0,200.0,14.1165085,172.13072,0.8834915,27.869278,5.8899436,13.934639,14.185584,188.13452,0.81441593,11.8654785,5.4294395,5.9327393,15.485783,245.88586,0.48578262,45.885864,3.238551,22.942932,15.48603,240.95595,0.48602962,40.955948,3.2401974,20.477974
184,15.0,250.00002,5.7745385,125.63028,9.225462,124.369736,61.503082,49.74789,5.4092164,114.07635,9.590784,135.92368,63.938557,54.36947,13.022455,211.37738,1.9775448,38.622635,13.183633,15.449053,13.012136,212.46542,1.9878635,37.53459,13.252423,15.013836
185,15.0,300.0,5.133333,133.13252,9.866667,166.86748,65.77778,55.622494,5.020531,109.730286,9.979469,190.26971,66.52979,63.42324,12.776046,236.24768,2.2239542,63.75232,14.826362,21.250772,12.7498865,240.46733,2.2501135,59.53267,15.000756,19.844223
186,15.0,350.00003,5.0536175,124.79604,9.9463825,225.20398,66.30922,64.34399,5.0278697,111.34475,9.97213,238.65527,66.480865,68.18721,13.184107,280.67178,1.8158932,69.32825,12.105954,19.80807,13.157912,285.47186,1.8420877,64.52817,12.280585,18.436619
187,15.0,400.0,5.0295696,120.524704,9.97043,279.47528,66.469536,69.86882,5.024563,112.120155,9.975437,287.87985,66.502914,71.96996,13.629339,338.06393,1.3706608,61.936066,9.137738,15.484017,13.59476,340.344,1.40524,59.656006,9.368267,14.914001
188,15.0,450.0,5.0276327,119.31331,9.972367,330.6867,66.48245,73.48593,5.0200715,112.42939,9.979929,337.57062,66.53286,75.01569,14.004162,405.0551,0.99583817,44.944885,6.6389213,9.987752,13.967593,403.59418,1.0324068,46.405823,6.8827124,10.312406
189,15.0,500.00003,5.042069,122.06006,9.9579315,377.93997,66.38621,75.58799,5.029777,115.41831,9.970222,384.58173,66.46815,76.91634,14.262974,474.11417,0.7370262,25.885864,4.913508,5.1771727,14.2361355,469.98563,0.7638645,30.014404,5.09243,6.0028806
190,15.0,550.0,5.5251474,191.11569,9.474853,358.8843,63.165684,65.25169,5.598152,189.61957,9.401848,360.38043,62.678986,65.52371,14.400328,537.7468,0.5996723,12.253174,3.9978154,2.2278497,14.3900175,532.99805,0.6099825,17.001953,4.06655,3.0912642
191,15.0,600.0,10.290616,426.8159,4.709384,173.18411,31.395895,28.86402,10.394226,424.68018,4.605774,175.31982,30.70516,29.21997,14.428022,591.78156,0.5719776,8.218445,3.813184,1.3697408,14.43353,587.99207,0.56647015,12.007935,3.7764676,2.0013225
192,15.0,650.0,12.9958725,569.31976,2.0041275,80.68024,13.36085,12.412344,12.932612,557.1754,2.0673876,92.824585,13.782583,14.280705,14.360202,635.4192,0.63979816,14.580811,4.2653213,2.2432017,14.375887,633.2654,0.6241131,16.73462,4.160754,2.5745568
193,15.0,700.00006,14.603896,680.80084,0.39610386,19.199219,2.6406922,2.7427454,14.555124,667.30774,0.44487572,32.69232,2.9658382,4.6703315,14.207304,669.7161,0.792696,30.283936,5.28464,4.3262763,14.225788,669.21844,0.7742119,30.781616,5.1614122,4.397373
194,15.0,750.0,15.601973,770.1303,0.6019726,20.13031,4.0131507,2.6840413,15.715839,768.7181,0.7158394,18.718079,4.7722626,2.495744,13.975105,696.28955,1.0248947,53.71045,6.8326316,7.161393,13.989392,697.1582,1.0106077,52.841797,6.737385,7.045573
195,15.0,800.0,16.323954,847.40576,1.3239536,47.40576,8.826358,5.92572,16.305145,847.6484,1.3051453,47.648376,8.700969,5.956047,13.665844,716.6708,1.334156,83.32922,8.894374,10.416153,13.670545,718.52716,1.3294554,81.47284,8.863035,10.184105
196,15.0,849.99994,16.656641,909.2666,1.656641,59.266663,11.044273,6.972549,16.771692,908.2689,1.7716923,58.268982,11.811282,6.855175,13.2801075,732.0966,1.7198925,117.90332,11.46595,13.87098,13.272213,734.5786,1.727787,115.421326,11.51858,13.578981
197,15.0,900.0,16.921165,970.3778,1.9211655,70.37781,12.80777,7.819756,16.936945,967.5066,1.936945,67.50659,12.912967,7.500733,12.819136,743.5032,2.1808643,156.49683,14.539096,17.388536,12.798557,746.30505,2.2014427,153.69495,14.676285,17.077217
198,15.0,950.0,16.899382,989.5555,1.8993816,39.55548,12.662545,4.163735,16.806273,987.6617,1.8062725,37.661682,12.041817,3.9643877,12.287406,751.58984,2.712594,198.41016,18.08396,20.88528,12.257224,754.47504,2.742776,195.52496,18.285173,20.581575
199,15.0,1000.00006,16.430876,991.4569,1.4308758,8.543152,9.539172,0.85431516,16.476988,991.73737,1.4769878,8.262695,9.846585,0.8262695,11.695169,756.9002,3.3048306,243.09985,22.032204,24.309984,11.661308,759.7013,3.3386917,240.29877,22.257944,24.029875
200,16.0,750.0,15.8934965,805.7412,0.10650349,55.74121,0.6656468,7.4321613,17.838097,962.5649,1.8380966,212.56488,11.488104,28.341984,15.686142,778.35114,0.31385803,28.351135,1.9616127,3.7801516,16.053507,792.17236,0.05350685,42.172363,0.33441782,5.622982
201,16.0,800.0,16.427082,873.15955,0.42708206,73.159546,2.669263,9.144943,16.264,890.01447,0.26399994,90.014465,1.6499996,11.251808,15.236156,783.49835,0.76384354,16.501648,4.774022,2.062706,15.542683,795.6301,0.45731735,4.369873,2.8582335,0.54623413
202,16.0,849.99994,17.553785,951.9218,1.5537853,101.921875,9.711159,11.990809,16.194328,880.36084,0.19432831,30.3609,1.2145519,3.5718708,14.775957,788.9973,1.2240429,61.002625,7.650268,7.1767797,15.025248,799.78784,0.9747524,50.212097,6.0922027,5.907306
203,16.0,900.0,17.162193,962.9681,1.1621933,62.96808,7.263708,6.996453,16.780674,918.937,0.780674,18.937012,4.8792124,2.1041126,14.316772,795.9913,1.6832275,104.00873,10.520172,11.556525,14.518174,805.801,1.4818258,94.198975,9.261412,10.466553
204,16.0,950.0,16.237186,961.5671,0.23718643,11.567078,1.4824152,1.2175871,16.295063,935.28705,0.29506302,14.712952,1.8441439,1.5487318,13.865033,805.2658,2.1349669,144.73419,13.343543,15.235178,14.030391,814.39496,1.9696093,135.60504,12.310058,14.274214
