idx,wt_true_um,lt_true_um,wt_pred_um__wtlt_big_泛化_test_2,lt_pred_um__wtlt_big_泛化_test_2,wt_abs_err_um__wtlt_big_泛化_test_2,lt_abs_err_um__wtlt_big_泛化_test_2,wt_pct_err__wtlt_big_泛化_test_2,lt_pct_err__wtlt_big_泛化_test_2,wt_pred_um__wtlt_big_泛化_test_data,lt_pred_um__wtlt_big_泛化_test_data,wt_abs_err_um__wtlt_big_泛化_test_data,lt_abs_err_um__wtlt_big_泛化_test_data,wt_pct_err__wtlt_big_泛化_test_data,lt_pct_err__wtlt_big_泛化_test_data
942,7.5918374,817.62726,14.591466,1028.8577,6.9996285,211.23041,92.1994,25.83456,15.10941,1025.1237,7.517573,207.4964,99.02179,25.377872
943,7.5918374,834.2371,14.481777,1035.155,6.88994,200.91791,90.75458,24.084028,14.995155,1032.372,7.403318,198.13483,97.51681,23.750422
944,7.5918374,850.84753,14.370751,1041.5745,6.778914,190.72693,89.29214,22.416111,14.869462,1039.5797,7.2776246,188.73218,95.861176,22.18167
945,7.5918374,867.45776,14.257996,1047.9142,6.666158,180.45642,87.806915,20.802906,14.727933,1046.5599,7.1360955,179.10217,93.99695,20.646788
946,7.5918374,884.068,14.142399,1053.9512,6.5505614,169.88318,86.28427,19.216076,14.567996,1053.0791,6.9761586,169.01111,91.89025,19.117434
947,7.5918374,900.678,14.022901,1059.4601,6.431063,158.7821,84.710236,17.629177,14.391546,1058.9075,6.799709,158.22949,89.566055,17.567822
948,7.5918374,917.28815,13.898615,1064.2439,6.3067775,146.95575,83.073135,16.020676,14.205159,1063.877,6.613322,146.5888,87.11095,15.980671
949,7.5918374,933.89813,13.769623,1068.1759,6.1777854,134.27777,81.37405,14.378203,14.017292,1067.9243,6.4254546,134.02618,84.63635,14.351264
950,7.5918374,950.5084,13.637515,1071.2363,6.0456777,120.727905,79.63392,12.701403,13.834016,1071.0745,6.2421784,120.56604,82.22224,12.684374
951,7.5918374,967.11847,13.504775,1073.5323,5.9129376,106.41388,77.88546,11.003189,13.656794,1073.3788,6.064956,106.260315,79.887856,10.98731
952,7.5918374,983.7288,13.3730755,1075.246,5.781238,91.51715,76.15071,9.303087,13.483174,1074.8635,5.891337,91.134705,77.60094,9.26421
953,7.5918374,1000.3392,13.241807,1076.5645,5.6499696,76.22528,74.42164,7.6199436,13.309208,1075.5311,5.7173705,75.191956,75.30944,7.5166464
954,7.5918374,1016.9492,13.107558,1077.6045,5.515721,60.655273,72.653305,5.964435,13.131496,1075.4003,5.539659,58.45105,72.96862,5.7476864
955,7.5918374,1033.5594,12.964892,1078.393,5.373055,44.833496,70.7741,4.337776,12.948387,1074.5187,5.3565497,40.95923,70.5567,3.9629292
956,7.5918374,1050.1697,12.807464,1078.8667,5.2156262,28.697021,68.70045,2.732608,12.759984,1072.977,5.1681466,22.807373,68.07504,2.1717799
957,7.5918374,1066.7797,12.629294,1078.8832,5.037457,12.103516,66.35359,1.1345844,12.567643,1070.8589,4.9758058,4.0792236,65.54153,0.3823867
